county_fips,county_name,state_name,state_fips,per_gop20,per_gopdiff16_20,total_votes20,cond_any,cond_obese,cond_heart,cond_copd,cond_diab,cond_ckd,urban,vax_full,vax_part,pop_all,hest_defnot,hest_probnot,hest_uns,hest_prob,svi_index,svi_cat,cvac_index,cvac_cat,vax_fullVH,pct_hispanic,pct_amerind,pct_asian,pct_black,pct_natHI,pct_white,pct_other,cases,deaths,lncases,lndeaths,survivors,cases_pre,deaths_pre,death_rate,case_rate,survpre_rate,deathpre_rate,casepre_rate,lncase_rate,lndeath_rate
36025,Delaware,New York,36,63.699837,1.7581105,18763,47.6,34.1,9.6,10.1,12.7,3.5,Noncore,44.410332,48.08202,44135,5.3599997,2.29,6.4799995,85.870003,.63,High Vulnerability,.38999999,Low Concern,48.699997,3.8800001,.079999998,.77999997,1.53,0,92.089996,1.6400012,760,3,6.6333184,1.0986123,2352,2391,39,6.7973266,1721.9894,5329.104,88.365242,5417.4692,7.4512353,1.9165294
17089,Kane,Illinois,17,41.745708,-.6765157,231734,40.6,31.4,6,6.7,10.1,2.8,Large fringe metro,42.700924,57.246014,532403,4.4899998,2.9799998,5.0899997,87.440002,.41999999,Moderate Vulnerability,.34,Low Concern,50.199997,31.869999,.089999996,4.0100002,5.29,.039999999,57.050003,1.6499996,6840,45,8.8305426,3.8066626,58633,59493,860,8.4522438,1284.7411,11012.898,161.53177,11174.43,7.1583123,2.1344318
12001,Alachua,Florida,12,35.641949,-.80105662,142784,36.6,28.4,6.1,6.9,10.2,2.7,Medium metro,48.55822,54.191711,269043,7.5499997,4.1200004,5.4400005,82.889999,.47,Moderate Vulnerability,.63,High Concern,54.700001,9.8899994,.31999999,6.0599999,19.83,.060000002,61.049999,2.7900019,12736,190,9.4521875,5.2470241,25140,25425,285,70.620682,4733.8159,9344.2314,105.93102,9450.1621,8.4624872,4.2573233
27117,Pipestone,Minnesota,27,72.039742,2.1924913,4932,42.2,33.5,8.199999999999999,6.9,11.1,3.4,Noncore,41.792679,44.548542,9126,4.2800002,3.5999999,4.23,87.889999,.46000001,Moderate Vulnerability,.31,Low Concern,53.100002,6.9200001,1.6,.16,.47,0,88,2.8500001,97,1,4.5747108,0,1140,1166,26,10.957704,1062.8972,12491.781,284.9003,12776.682,6.9687538,2.3940427
46071,Jackson,South Dakota,46,66.188339,.2522707,1115,50.3,39.5,11.6,10.7,16.9,4.8,Noncore,26.435406,28.214714,3344,9.6700001,3.9800003,7.0299997,79.32,.97000003,Very High Vulnerability,.85000002,Very High Concern,37.299999,.27000001,57.75,.43000001,.30000001,0,38.970001,2.2800019,70,1,4.2484951,0,277,291,14,29.904306,2093.3015,8283.4932,418.66028,8702.1533,7.6464977,3.3980024
47091,Johnson,Tennessee,47,82.971901,.60460567,7793,52.7,38.2,11.4,13.8,15.8,4,Noncore,27.799641,30.576794,17788,8.8500004,5.1500001,6.8100004,79.189995,.56999999,Moderate Vulnerability,.85000002,Very High Concern,30.599998,2.0300002,.50999999,.48000002,3.4499998,0,92.290001,1.2399979,872,6,6.7707896,1.7917595,2406,2445,39,33.730606,4902.1812,13525.973,219.24893,13745.222,8.4974356,3.5184057
39167,Washington,Ohio,39,69.460205,.81712604,31382,46.9,34.3,9.4,10.5,13.5,3.4,Micropolitan,39.363388,41.822037,59911,8.9400005,5.8299994,5.6099997,79.620003,.34999999,Low Vulnerability,.19,Very Low Concern,47.799999,1.1,.41999999,.63999999,1.23,0,95.060005,1.5499973,2125,16,7.6615272,2.7725887,5216,5326,110,26.706282,3546.928,8706.248,183.60568,8889.8535,8.1738367,3.2848988
51710,Norfolk city,Virginia,51,26.538696,.099331141,83041,43,36.3,5.8,6.4,10.8,2.8,Large central metro,34.102051,39.021881,242742,4.6300001,2.24,8.4099989,84.720001,.76999998,High Vulnerability,.38,Low Concern,38.400002,8.04,.30000001,3.4899998,40.509998,.050000001,43.439999,4.1700025,4925,34,8.50208,3.5263605,17762,18031,269,14.00664,2028.9031,7317.2339,110.81725,7428.0513,7.6152506,2.6395316
19073,Greene,Iowa,19,63.731701,4.5338869,5054,51.9,38.3,8.4,7.7,11.4,3.3,Noncore,45.375786,48.756752,8888,7.04,4.71,5.3700008,82.879997,.2,Very Low Vulnerability,.02,Very Low Concern,55,2.9100001,.15000001,.74000001,.41999999,0,94.599998,1.1800019,249,1,5.5174527,0,770,781,11,11.251125,2801.5303,8663.3662,123.76237,8787.1289,7.937921,2.4204681
13321,Worth,Georgia,13,73.548111,-.78046918,9281,46.1,32.9,9.1,10.6,15.5,3.9,Small metro,29.656246,32.434433,20247,10.34,5.9000006,7.499999,76.260002,.74000001,High Vulnerability,.88,Very High Concern,9.8000002,2.2,.38,.78999996,28.009998,.030000001,67.299995,1.2900034,1144,15,7.0422864,2.7080503,1736,1805,69,74.085052,5650.2197,8574.1094,340.79123,8914.9014,8.6394501,4.3052139
