county_fips,county_name,state_name,state_fips,per_gop20,per_gopdiff16_20,total_votes20,cond_any,cond_obese,cond_heart,cond_copd,cond_diab,cond_ckd,urban,vax_full,vax_part,pop_all,hest_defnot,hest_probnot,hest_uns,hest_prob,svi_index,svi_cat,cvac_index,cvac_cat,vax_fullVH,pct_hispanic,pct_amerind,pct_asian,pct_black,pct_natHI,pct_white,pct_other,cases,deaths,lncases,lndeaths,survivors,cases_pre,deaths_pre,death_rate,case_rate,survpre_rate,deathpre_rate,casepre_rate,lncase_rate,lndeath_rate
51035,Carroll,Virginia,51,81.048721,2.6428938,15619,51,36.6,10,10.9,13.8,3.7,Noncore,26.831928,33.657814,29791,4.9499998,2.22,7.1900001,85.639999,.34,Low Vulnerability,.41,3,7.9000006,3.5300002,.25999999,.060000002,.55000001,0,94.5,1.1000005,778,6,6.6567264,1.7917595,2640,2719,79,20.14031,2611.5269,8861.7363,265.18076,9126.918,7.8676906,3.0027232
21093,Hardin,Kentucky,21,60.955029,-1.6015053,48941,52.2,42.4,8,9.5,13.4,3,Small metro,42.892807,49.99324,110958,12.74,6.750001,5.5399985,74.970001,.56999999,Moderate Vulnerability,.079999998,1,50.300003,5.6700001,.13,2.1199999,11.23,.31,76.020004,4.5199976,6624,45,8.7984543,3.8066626,9809,9979,170,40.555885,5969.8267,8840.2822,153.21112,8993.4932,8.6944733,3.7026808
8021,Conejos,Colorado,08,52.878117,5.3970098,4291,41.1,29.2,8.699999999999999,7.4,14.3,4.2,Noncore,41.243145,46.79464,8205,4.79,3.1700001,5.1600003,86.879997,.93000001,Very High Vulnerability,.74000001,4,30.000002,52.450001,.88999999,.16,.49000001,.32999998,44.560001,1.1199985,122,12,4.8040209,2.4849067,718,736,18,146.25229,1486.8982,8750.7617,219.37843,8970.1406,7.3044477,4.985333
49043,Summit,Utah,49,33.767235,-1.7962664,18130,25.4,19.6,4.6,4.2,7.8,2.3,Micropolitan,56.220192,73.684898,42145,6.3800001,3.9899998,3.8000002,85.829994,.050000001,Very Low Vulnerability,.25,2,66.900002,11.45,.23,1.76,.78999996,.030000001,84.32,1.4199971,745,4,6.6133842,1.3862944,5622,5635,13,9.4910431,1767.7068,13339.661,30.84589,13370.507,7.4774384,2.2503486
37165,Scotland,North Carolina,37,50.567253,5.3660574,14632,55.3,42.1,10,11.3,17.5,4.3,Micropolitan,35.532551,38.197456,34823,11.559999,3.5499997,7.8200011,77.07,.99000001,Very High Vulnerability,.80000001,5,37.400002,3,11.81,.81,38.850002,0,43.189999,2.3399997,1501,12,7.3138866,2.4849067,3808,3896,88,34.459984,4310.3696,10935.302,252.70654,11188.008,8.3687792,3.5397987
51550,Chesapeake city,Virginia,51,46.117477,-2.1606655,125009,42.9,33.1,5.9,6.3,10.5,2.8,Large fringe metro,38.289871,45.52515,244835,4.1900001,1.9399997,6.5900011,87.279999,.25999999,Low Vulnerability,.07,1,11.900001,6.1799998,.15000001,3.0599999,29.309999,.060000002,57.43,3.8100011,5805,22,8.6664753,3.0910425,20932,21238,306,8.9856434,2370.9846,8549.4316,124.98213,8674.4131,7.7710605,2.1956282
47131,Obion,Tennessee,47,79.801788,1.8749356,13521,53.4,37.2,10.5,12.8,16,3.9,Micropolitan,25.187069,29.152946,30069,8.8400002,5.23,7.3300004,78.599998,.76999998,High Vulnerability,.76999998,4,29.199999,4.4100003,.24000001,.38,10.24,.02,82.889999,1.8200021,1688,9,7.4312997,2.1972246,4526,4623,97,29.931158,5613.7549,15052.047,322.59137,15374.639,8.6329746,3.3989
41013,Crook,Oregon,41,73.214638,1.1403978,15165,47.9,34,9.800000000000001,10.2,14,3.8,Micropolitan,36.819786,40.808884,24404,8.6900005,2.77,2.849999,85.689995,.56999999,Moderate Vulnerability,.46000001,3,42.299999,7.6199999,.78999996,.35000002,.55000001,.44,88.200005,2.0499971,950,16,6.856462,2.7725887,1276,1299,23,65.563019,3892.8044,5228.6509,94.246841,5322.8979,8.2668848,4.183012
17135,Montgomery,Illinois,17,69.367203,2.206862,13701,50.2,34.9,8.699999999999999,9.9,12,3.4,Noncore,33.251213,41.447876,28414,6.3299999,3.8400002,6.7500005,83.080002,.38999999,Low Vulnerability,.38999999,2,39.399998,1.77,.17,.25,3.74,.050000001,93.25,.76999956,923,2,6.8276291,.69314718,3718,3798,80,7.0387836,3248.3987,13085.099,281.55136,13366.65,8.0859175,1.9514353
38003,Barnes,North Dakota,38,64.136551,4.0565968,5507,43.7,32.6,8.1,7,11.1,3.2,Noncore,45.780125,51.262604,10415,9.6300001,4.3200006,5.0599995,80.989998,.12,Very Low Vulnerability,.1,1,54.000004,2.05,1.2,1.02,2.23,.07,92.519997,.91000146,168,1,5.1239638,0,1391,1422,31,9.6015358,1613.0581,13355.737,297.64761,13653.385,7.3858871,2.2619231
